ID,N_VICTIMAS,FECHA_x,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Cruce,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA_y,SEXO,EDAD
2020-0012,1,2020-02-18,21.0,MEXICO 2860,CALLE,False,3,-58.40604003,-34.61783553,PEATON-MOTO,MOTO,PEATON,PEATON,FEMENINO,66.0
2020-0013,1,2020-02-20,12.0,COMBATIENTES DE MALVINAS AV. Y TRIUNVITARO AV.,AVENIDA,True,15,-58.47549929,-34.57994061,PEATON-MOTO,MOTO,PEATON,PEATON,FEMENINO,58.0
2020-0014,1,2020-02-27,2.0,BERMUDEZ Y NOGOYA,CALLE,True,11,-58.51398484,-34.61600366,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,
2020-0015,1,2020-02-28,14.0,BRASIL AV. Y PASEO COLON AV.,AVENIDA,True,1,-58.36797542,-34.62519403,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,29.0
2020-0016,1,2020-02-29,13.0,"ALEM,LEANDRO N. AV. 770",AVENIDA,False,1,-58.37133616,-34.59879316,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,68.0
2020-0017,1,2020-03-05,23.0,BELGRANO AV. Y RINCON,AVENIDA,True,3,-58.39613805,-34.61413568,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,
2020-0018,1,2020-03-09,14.0,"UDAONDO, GUILLERMO AV. 901",AVENIDA,False,13,-58.44903073,-34.54200276,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,31.0
2020-0019,1,2020-03-10,21.0,CONSTITUCION Y CASTRO,CALLE,True,5,-58.41972364,-34.6284667,PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,80.0
2020-0020,1,2020-03-13,17.0,"PUEYRREDON AV. Y GOMEZ, VALENTIN",AVENIDA,True,3,-58.40571596,-34.60557123,PEATON-MOTO,MOTO,PEATON,PEATON,FEMENINO,74.0
2020-0021,1,2020-03-14,16.0,"BRAVO, MARIO 1279",CALLE,False,2,-58.4145159,-34.59488319,PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,87.0
2020-0022,1,2020-04-07,6.0,"DELLEPIANE, LUIS, TTE. GRAL. Y ESCALADA AV.",AUTOPISTA,True,9,-58.47297505,-34.66245085,AUTO-CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,44.0
2020-0023,1,2020-04-09,18.0,"ARAOZ DE LAMADRID, GREGORIO, GRAL. Y BROWN, ALTE. AV.",AVENIDA,True,4,-58.35791192,-34.63695178,AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,44.0
2020-0024,1,2020-04-24,7.0,MURGUIONDO 1339,CALLE,False,9,-58.50801713,-34.65177305,AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,53.0
2020-0025,1,2020-05-12,5.0,RIVADAVIA AV. 2551,AVENIDA,False,3,-58.40258477,-34.60975108,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,
2020-0026,1,2020-05-17,6.0,"LUGONES, LEOPOLDO AV. KM 6,1",AUTOPISTA,False,14,,,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,28.0
2020-0027,1,2020-05-18,8.0,"DELLEPIANE, LUIS, TTE. GRAL. Y MONTIEL",AVENIDA,True,8,-58.48267426,-34.68454456,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,76.0
2020-0028,1,2020-05-19,10.0,"SCALABRINI ORTIZ, RAUL AV. Y WARNES AV.",AVENIDA,True,15,-58.44248936,-34.60221948,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,91.0
2020-0029,1,2020-06-10,14.0,"PAZ, GRAL. AV. y ROFFO, ANGEL H., DR.",GRAL PAZ,True,9,-58.52909134,-34.63886726,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,80.0
2020-0030,1,2020-06-16,15.0,SAN MARTIN AV. 1550,AVENIDA,False,6,-58.45158942,-34.6064658,MULTIPLE,MULTIPLE,CONDUCTOR,MOTO,MASCULINO,40.0
2020-0031,1,2020-06-30,8.0,"GARZON, EUGENIO, GRAL. AV. y LARRAYA",AVENIDA,True,9,-58.49344309,-34.65788529,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,29.0
2020-0032,1,2020-07-10,23.0,CORRIENTES AV. Y SERRANO,AVENIDA,True,15,-58.44259166,-34.59635137,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,21.0
2020-0033,1,2020-07-19,6.0,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,True,13,-58.46743471,-34.53476874,AUTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,32.0
2020-0034,1,2020-08-02,3.0,"MITRE, BARTOLOME Y ANCHORENA, TOMAS MANUEL DE, DR.",CALLE,True,3,-58.41178158,-34.60922259,PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,
2020-0035,1,2020-08-04,5.0,"AU 25 DE MAYO ALTURA PUMACAHUA Y RECUERO, CASIMIRO, TTE. CNEL.",AUTOPISTA,False,7,-58.45068621,-34.63638927,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,40.0
2020-0036,1,2020-08-07,18.0,"SCALABRINI ORTIZ, RAUL AV. Y PARAGUAY",AVENIDA,True,14,-58.42016954,-34.5877879,PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,72.0
2020-0037,1,2020-08-29,4.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y VARELA AV.",AVENIDA,True,8,-58.43850413,-34.65554754,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,38.0
2020-0038,2,2020-08-30,4.0,"LAS HERAS GENERAL AV. Y DIAZ, CNEL. AV.",AVENIDA,True,14,-58.40617526,-34.58345898,AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,46.0
2020-0038,2,2020-08-30,4.0,"LAS HERAS GENERAL AV. Y DIAZ, CNEL. AV.",AVENIDA,True,14,-58.40617526,-34.58345898,AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,64.0
2020-0039,1,2020-09-01,19.0,MURGUIONDO 2700,CALLE,False,9,,,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,44.0
2020-0040,1,2020-09-12,3.0,"CASTILLO, RAMON S., PRES. AV. Y CALLE 12",AVENIDA,True,2,-58.38526125,-34.5780581,AUTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,
2020-0041,1,2020-09-28,1.0,"CURAPALIGUE Y PERON, EVA AV.",AVENIDA,True,7,-58.4475047,-34.63491705,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,34.0
2020-0042,1,2020-09-29,17.0,"DIAZ, ANA Y SOLDADO DE LA FRONTERA AV.",AVENIDA,True,8,-58.46745752,-34.68192648,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,53.0
2020-0043,1,2020-09-30,17.0,"ALEM, LEANDRO N. AV. Y PARAGUAY",AVENIDA,True,1,-58.37202621,-34.59717942,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,64.0
